dateseries,Total_New_Airbnbs
2008-08-01,1
2009-02-01,1
2009-03-01,1
2009-05-01,1
2010-04-01,1
2010-08-01,1
2010-09-01,1
2011-08-01,2
2012-01-01,1
2012-03-01,1
2012-06-01,2
2012-07-01,1
2012-08-01,1
2012-09-01,1
2012-10-01,1
2012-12-01,1
2013-01-01,1
2013-02-01,3
2013-04-01,2
2013-05-01,1
2013-06-01,4
2013-07-01,8
2013-08-01,1
2013-09-01,4
2013-10-01,5
2013-12-01,4
2014-01-01,2
2014-02-01,1
2014-03-01,5
2014-04-01,3
2014-05-01,2
2014-06-01,5
2014-07-01,8
2014-08-01,4
2014-09-01,6
2014-10-01,10
2014-11-01,2
2014-12-01,2
2015-01-01,4
2015-02-01,2
2015-03-01,5
2015-04-01,6
2015-05-01,7
2015-06-01,11
2015-07-01,19
2015-08-01,14
2015-09-01,13
2015-10-01,8
2015-11-01,9
2015-12-01,11
2016-01-01,8
2016-02-01,13
2016-03-01,4
2016-04-01,12
2016-05-01,17
2016-06-01,22
2016-07-01,19
2016-08-01,13
2016-09-01,27
2016-10-01,16
2016-11-01,17
2016-12-01,15
2017-01-01,21
2017-02-01,12
2017-03-01,21
2017-04-01,18
2017-05-01,26
2017-06-01,19
2017-07-01,18
2017-08-01,27
2017-09-01,17
2017-10-01,31
2017-11-01,18
2017-12-01,23
2018-01-01,24
2018-02-01,14
2018-03-01,22
2018-04-01,25
2018-05-01,22
2018-06-01,35
2018-07-01,43
2018-08-01,32
2018-09-01,42
2018-10-01,28
2018-11-01,23
2018-12-01,29
2019-01-01,28
2019-02-01,17
2019-03-01,29
2019-04-01,30
2019-05-01,35
2019-06-01,35
2019-07-01,26
2019-08-01,40
2019-09-01,41
2019-10-01,33
2019-11-01,30
2019-12-01,24
2020-01-01,25
2020-02-01,26
2020-03-01,22
2020-04-01,12
2020-05-01,16
2020-06-01,19
2020-07-01,41
2020-08-01,46
2020-09-01,30
2020-10-01,53
2020-11-01,53
2020-12-01,35
2021-01-01,34
2021-02-01,31
2021-03-01,53
2021-04-01,54
2021-05-01,62
2021-06-01,48
2021-07-01,90
2021-08-01,59
2021-09-01,54
2021-10-01,49
2021-11-01,76
2021-12-01,71
2022-01-01,66
2022-02-01,70
2022-03-01,87
2022-04-01,82
2022-05-01,112
2022-06-01,101
2022-07-01,139
2022-08-01,101
2022-09-01,98
2022-10-01,101
2022-11-01,97
2022-12-01,102
2023-01-01,83
2023-02-01,81
2023-03-01,107
2023-04-01,97
2023-05-01,124
2023-06-01,151
2023-07-01,152
2023-08-01,138
2023-09-01,85
